date,open,high,low,close,volume
6/23/2009,57.8189,57.8851,57.289,57.6478,2974911
6/24/2009,58.1722,58.7739,57.2505,57.4878,3692345
6/25/2009,57.2393,58.9449,57.1345,58.542,3984139
6/26/2009,58.7849,58.7849,57.9846,58.3323,2960653
6/29/2009,58.5034,58.6083,58.0453,58.4151,2703092
6/30/2009,58.3378,58.5255,57.3001,57.6368,4337487
7/1/2009,57.9569,58.6579,57.8079,57.8686,3197023
7/2/2009,57.2946,57.3553,56.152,56.152,4056946
7/6/2009,56.0636,56.4279,55.4565,56.1078,3765838
7/7/2009,55.9367,56.2789,55.2136,55.3019,3860004
7/8/2009,55.3571,55.8429,54.9211,55.5724,4261388
7/9/2009,55.8153,56.7316,55.6663,56.3452,3552622
7/10/2009,55.7325,56.1465,55.0867,55.6552,4310521
7/13/2009,55.9036,57.2118,55.3019,57.1952,5481642
7/14/2009,57.0848,57.1952,56.5881,56.991,3125547
7/15/2009,57.8189,59.1823,57.7361,59.1823,5022524
7/16/2009,58.9726,61.2523,58.945,61.0701,8659216
7/17/2009,62.599,63.7692,62.461,63.7085,11656298
7/20/2009,63.2172,64.5144,63.14,64.2715,6167666
7/21/2009,63.9569,64.6027,63.6864,64.6027,4793084
7/22/2009,64.128,64.691,63.5264,63.7913,5088520
7/23/2009,63.5098,65.1326,63.5098,64.6137,4885286
7/24/2009,64.4039,65.2153,64.3763,64.9338,3614858
7/27/2009,64.5531,65.0885,64.3433,64.9284,2926764
7/28/2009,64.3764,64.8677,64.2163,64.7352,3338827
7/29/2009,64.2274,64.7352,64.0563,64.7241,2945066
7/30/2009,65.1326,65.8888,64.9504,65.0553,3927849
7/31/2009,64.8897,65.679,64.8897,65.0939,3077105
8/3/2009,65.6183,66.2145,65.5135,66.1924,3526642
8/4/2009,65.7784,66.126,65.6956,66.0157,2883054
8/5/2009,65.4196,65.6845,65.0553,65.392,2901704
8/6/2009,65.6083,65.6582,64.7155,65.0926,3482129
8/7/2009,65.4974,66.4955,65.4974,66.1739,3342970
8/10/2009,65.5306,66.0962,65.4197,65.8245,2309370
8/11/2009,65.453,65.7136,65.0593,65.3199,2810074
8/12/2009,65.2145,66.5232,65.1147,66.1517,3648367
8/13/2009,66.1461,66.4234,65.7857,66.3125,3184033
8/14/2009,66.1517,66.4012,65.2256,65.7524,2782171
8/17/2009,64.7099,65.1258,64.4437,64.8042,3103061
8/18/2009,64.7765,65.4364,64.7321,65.2312,2486230
8/19/2009,64.5269,65.8633,64.3938,65.7524,2806243
8/20/2009,65.6804,66.2183,65.4918,65.9632,2808451
8/21/2009,66.3513,66.5509,65.7413,66.49,4818393
8/24/2009,66.5011,67.0335,66.0464,66.1684,3691121
8/25/2009,66.1295,66.6286,65.8301,65.8966,2698528
8/26/2009,65.7913,66.4624,65.1647,66.2516,2619238
8/27/2009,65.8411,66.318,65.3531,66.2293,2527237
8/28/2009,66.6008,66.6729,65.3088,65.5583,3617043
8/31/2009,64.9373,65.4696,64.8375,65.4641,3155149
9/1/2009,65.2534,65.9521,64.6045,64.7099,3656547
9/2/2009,64.5158,65.0149,64.3273,64.3772,3003987
9/3/2009,64.6323,64.7321,63.8559,64.5102,2863264
9/4/2009,64.6489,65.1591,64.4437,65.1369,2002174
9/8/2009,65.4031,65.5306,64.6766,64.9705,3362867
9/9/2009,64.8984,65.2533,64.416,64.7487,3044183
9/10/2009,64.8762,65.342,64.7431,65.2533,2836116
9/11/2009,65.3255,66.1296,65.1425,65.4641,3418668
9/14/2009,64.8819,65.9854,64.8486,65.9244,2760249
9/15/2009,65.8689,66.2405,65.5251,66.185,3791237
9/16/2009,66.2682,67.6545,66.1572,67.5547,6517896
9/17/2009,67.1776,68.0871,67.1277,67.588,4868166
9/18/2009,67.9041,68.1426,67.4439,67.7156,5763311
9/21/2009,67.1166,67.6989,67.0335,67.4161,2619005
9/22/2009,67.7044,67.7155,67.0889,67.4382,3227829
9/23/2009,67.2442,68.0649,66.9392,67.0002,3212401
9/24/2009,66.9281,67.4604,66.7672,67.0667,3147839
9/25/2009,66.6952,67.4605,66.6009,67.1444,3009266
9/28/2009,66.8338,67.6545,65.9576,66.1739,4784637
9/29/2009,66.1905,66.5121,65.769,65.8855,3914670
9/30/2009,66.0907,66.5455,65.1868,66.3292,4485737
10/1/2009,66.2072,66.3292,65.1924,65.3809,4099535
10/2/2009,65.1036,66.3569,65.0259,66.002,4397912
10/5/2009,65.9354,66.6453,65.5084,66.4068,3290823
10/6/2009,66.7617,67.4272,66.6675,67.2941,3862642
10/7/2009,67.1666,68.1259,67.0667,68.0871,3406081
10/8/2009,67.9428,68.1979,67.5713,67.8153,3769191
10/9/2009,67.893,69.8727,67.8209,69.8339,7612113
10/12/2009,69.5622,70.4828,69.4291,70.4495,4484115
