date,open,high,low,close,volume
1997-07-21,25.9583,26.2203,25.2029,25.5883,4233235
1997-07-22,24.7867,25.5266,24.5093,25.4033,4750376
1997-07-23,25.7425,26.3899,25.4496,25.9275,2836231
1997-07-24,26.0508,26.7445,25.7733,26.5903,2632530
1997-07-25,26.6212,26.7445,26.0508,26.3899,1890993
1997-07-28,26.2666,26.3591,25.8504,25.8966,1677486
1997-07-29,25.7733,25.8042,25.3417,25.3725,2228583
1997-07-30,25.3724,26.1432,25.3724,26.1432,2245192
1997-07-31,26.1741,26.3899,25.8966,26.0816,1775984
1997-08-01,26.0199,26.1278,25.4804,25.8349,2064761
1997-08-04,25.7887,26.2666,25.7271,26.2049,1569238
1997-08-05,26.2665,26.6211,26.2665,26.2665,1386121
1997-08-06,26.2511,26.9911,26.097,26.6057,2147475
1997-08-07,26.8096,26.9949,26.4081,26.5316,1673213
1997-08-08,26.269,26.4698,25.6976,26.0065,1983258
1997-08-11,25.8829,26.0219,25.4505,25.4505,1750539
1997-08-12,25.5431,26.0991,25.4505,25.5586,1811690
1997-08-13,26.1454,26.1917,25.3887,25.7902,2651781
1997-08-14,25.8366,25.9756,25.3578,25.6049,1748988
1997-08-15,25.5277,25.8211,24.6783,24.6938,2379161
1997-08-18,24.9563,25.7285,24.632,25.6976,2571507
1997-08-19,25.883,26.686,25.7594,26.6706,2476761
1997-08-20,26.5934,26.7942,26.2228,26.686,2350375
1997-08-21,26.5624,26.6705,26.0065,26.13,1684529
1997-08-22,25.327,26.3463,25.3115,26.2845,2289067
1997-08-25,26.2845,26.4389,25.8212,25.9447,1287021
1997-08-26,25.5432,25.7903,25.466,25.5278,1544810
1997-08-27,25.4968,25.8984,25.327,25.6667,1433670
1997-08-28,25.3887,25.6667,24.9563,24.9872,1473213
1997-08-29,24.8482,25.4196,24.8251,25.049,1941542
1997-09-02,25.049,25.7749,25.0182,25.7131,2348513
1997-09-03,25.6513,25.9756,25.574,25.5895,1814533
1997-09-04,25.5895,25.8366,25.4505,25.6358,1299373
1997-09-05,25.9292,26.0064,25.5895,25.6049,1386991
1997-09-08,25.6822,25.7748,25.3578,25.4196,1335300
1997-09-09,25.4505,25.6976,24.7092,24.7092,2980595
1997-09-10,24.7093,24.7247,23.7518,23.968,4435881
1997-09-11,23.9679,24.3077,23.8444,24.215,3038074
1997-09-12,24.1997,24.215,23.9525,24.1533,1702830
1997-09-15,24.2459,24.5085,23.7517,23.7826,1381614
1997-09-16,24.0298,24.8328,23.8136,24.6166,2480947
1997-09-17,24.7711,25.0182,24.4621,24.6166,1803733
1997-09-18,24.7402,24.7711,24.4004,24.4004,1927330
1997-09-19,24.4467,24.6166,24.2923,24.5239,1781401
1997-09-22,25.2035,25.9756,25.2035,25.6667,3586993
1997-09-23,25.7131,25.9447,25.3888,25.5123,2142209
1997-09-24,25.6667,25.8057,25.0644,25.0953,1582129
1997-09-25,25.1262,25.4506,25.0027,25.1108,1272652
1997-09-26,25.4042,25.4968,25.1879,25.3578,1100205
1997-09-29,25.2961,25.9756,25.2034,25.9447,1537622
1997-09-30,25.8829,26.547,25.6049,26.1918,3223600
1997-10-01,26.2227,26.2999,25.4969,25.5741,1956328
1997-10-02,25.6513,25.8366,25.4505,25.8366,1159289
1997-10-03,26.408,26.5006,25.574,25.7748,2117703
1997-10-06,25.9602,26.0065,25.7903,25.8984,1266656
1997-10-07,26.3154,26.4698,26.1764,26.3926,2078786
1997-10-08,26.3926,26.4081,25.8212,26.0065,2118071
1997-10-09,25.7749,26.1455,25.744,25.8521,1169268
1997-10-10,25.7902,26.0374,25.7284,25.9292,849552
1997-10-13,26.0683,26.0683,25.7131,25.8212,502496
1997-10-14,25.7131,25.7285,25.2189,25.5278,1361201
1997-10-15,25.2343,25.4196,25.049,25.1262,1421108
1997-10-16,25.2961,25.3733,24.4931,24.6784,1743359
1997-10-17,24.246,24.4313,23.5356,23.5819,3735351
1997-10-20,23.6746,24.1533,23.3502,24.0915,2961573
1997-10-21,25.1108,26.0374,24.9564,25.991,4519200
1997-10-22,26.0065,26.1763,25.7594,25.9756,2242955
1997-10-23,25.2034,25.6667,24.7247,24.8019,3581668
1997-10-24,25.2652,25.4042,23.9371,24.215,4769125
